timestamp,vibration,temperature,sound_db,load_pct,oil_pressure,rpm_drift_pct,runtime_hrs,rul_hours,failure_prob,condition,label,machine_id,vib_temp_ratio,load_rpm_product,thermal_stress
2024-02-22 09:45:00,1.039454858179415,51.19572771316999,73.25806424298584,56.63964608422141,4.28265808883641,-0.7242637469541658,120.57,1497.4,0.1167,0,Normal,M12,0.0203,41.022,6.1727
2024-01-05 10:55:00,3.874172933455514,68.15366368842308,83.98536204219555,82.43903671632717,4.589429135822378,0.617373075809718,22.86,269.4,0.4715,1,EarlyFault,M01,0.05684,50.896,1.558
2024-01-04 11:35:00,1.6025761946471206,62.494163034047155,70.79709934756578,47.27360300434295,4.104425740468524,2.1849973710730497,115.95,2086.4,0.0,0,Normal,M01,0.02564,103.293,7.2462
2024-02-18 08:30:00,3.2128605394931795,79.24015041119853,75.6180061006722,63.39609448825511,3.3776390377411953,3.207415180661627,20.95,293.9,0.705,1,EarlyFault,M11,0.04055,203.338,1.6601
2024-01-21 11:10:00,5.204504264064664,75.65013516983298,87.02271119906406,68.00326338091105,3.48243195377335,6.3318355596237765,64.89,273.7,0.3009,1,EarlyFault,M05,0.0688,430.585,4.9089
2024-02-20 08:20:00,1.1064936805103303,59.066388206166465,68.09285398459637,41.11092523150794,4.2781886033643115,-0.5465097799893865,52.61,2230.8,0.1228,0,Normal,M12,0.01873,22.468,3.1075
2024-02-24 18:15:00,1.410017577369499,65.89108380721642,60.08848525335863,24.48534778249159,3.726531665946231,-2.6534798003183475,41.22,2418.8,0.0867,0,Normal,M13,0.0214,64.971,2.716
2024-03-02 20:20:00,1.679367438280298,59.75084510175802,65.73332915716007,44.11206925736086,4.301798286319812,0.5318858477503436,20.59,1730.5,0.0044,0,Normal,M15,0.02811,23.463,1.2303
2024-02-21 05:55:00,1.4338096248541243,66.38269197730776,70.01126716886213,47.278351248848494,4.581570064173899,0.6131601997155381,81.99,1752.1,0.1026,0,Normal,M12,0.0216,28.989,5.4427
2024-02-24 07:25:00,2.316715816903604,52.79322514311705,59.156233387384006,36.666336154581295,4.4547844745642085,-2.3985624466264293,25.84,1979.0,0.1655,0,Normal,M13,0.04388,87.946,1.3642
2024-02-20 18:15:00,1.5677925933209285,62.09318554780375,65.450096793597,70.84328332149215,4.309682913119783,1.5670730985589234,65.7,1430.8,0.0937,1,EarlyFault,M12,0.02525,111.017,4.0795
2024-02-20 12:45:00,2.1242545377086284,50.97342175785686,72.88615977318791,58.83529112461879,4.880813384065513,-0.4243512055377876,58.31,2012.0,0.1285,0,Normal,M12,0.04167,24.967,2.9723
2024-01-20 09:50:00,2.987117519086007,87.58246029450665,83.58907194634817,38.31126153956369,3.543697821830649,1.842749871735356,29.66,250.5,0.3958,1,EarlyFault,M05,0.03411,70.598,2.5977
2024-02-25 19:15:00,1.390453214238034,65.71821627056522,65.0946124824628,48.12576507466369,4.623004055924542,0.25936771928276525,76.07,1340.0,0.0,0,Normal,M13,0.02116,12.482,4.9992
2024-02-17 14:20:00,1.0064456233241204,54.635015845615975,107.10700178960991,60.701478236518646,4.19157549135922,1.4369898884501957,121.16,1712.8,0.087,0,Normal,M11,0.01842,87.227,6.6196
